qf,AVVHG4-SYDQCX,"Link from AVVHG4 to Sydney Data Centre"
qf,CNSAPT-SYDQCX,"Link from CNSAPT to Sydney Data Centre"
qf,ABXDTB-SYDQCX,"Link from ABXDTB to Sydney Data Centre"
qf,ADLNJS-SYDQCX,"Link from ADLNJS to Sydney Data Centre"
qf,AMR343-SYDQCX,"Link from AMR343 to Sydney Data Centre"
qf,ARMDTB-SYDQCX,"Link from ARMDTB to Sydney Data Centre"
qf,ASPDTB-SYDQCX,"Link from ASPDTB to Sydney Data Centre"
qf,AYQDTB-SYDQCX,"Link from AYQDTB to Sydney Data Centre"
qf,BDBDTB-SYDQCX,"Link from BDBDTB to Sydney Data Centre"
qf,BKQDTB-SYDQCX,"Link from BKQDTB to Sydney Data Centre"
qf,BMEDTB-SYDQCX,"Link from BMEDTB to Sydney Data Centre"
qf,BNEASA-SYDQCX,"Link from BNEASA to Sydney Data Centre"
qf,BNEBOW-SYDQCX,"Link from BNEBOW to Sydney Data Centre"
qf,BNECCA-SYDQCX,"Link from BNECCA to Sydney Data Centre"
qf,BNESNP-SYDQCX,"Link from BNESNP to Sydney Data Centre"
qf,CBRDTB-SYDQCX,"Link from CBRDTB to Sydney Data Centre"
qf,CBRHGR-SYDQCX,"Link from CBRHGR to Sydney Data Centre"
qf,CBRHQB-SYDQCX,"Link from CBRHQB to Sydney Data Centre"
qf,CBRQDS-SYDQCX,"Link from CBRQDS to Sydney Data Centre"
qf,CFSDTB-SYDQCX,"Link from CFSDTB to Sydney Data Centre"
qf,CTLDTB-SYDQCX,"Link from CTLDTB to Sydney Data Centre"
qf,DBODTB-SYDQCX,"Link from DBODTB to Sydney Data Centre"
qf,DPODTB-SYDQCX,"Link from DPODTB to Sydney Data Centre"
qf,DRWAMC-SYDQCX,"Link from DRWAMC to Sydney Data Centre"
qf,DRWDTB-SYDQCX,"Link from DRWDTB to Sydney Data Centre"
qf,DRWHQB-SYDQCX,"Link from DRWHQB to Sydney Data Centre"
qf,EMDDTB-SYDQCX,"Link from EMDDTB to Sydney Data Centre"
qf,GLTDTB-SYDQCX,"Link from GLTDTB to Sydney Data Centre"
qf,GOVDTB-SYDQCX,"Link from GOVDTB to Sydney Data Centre"
qf,GOVTCG-SYDQCX,"Link from GOVTCG to Sydney Data Centre"
qf,HBACCA-SYDQCX,"Link from HBACCA to Sydney Data Centre"
qf,HBADTB-SYDQCX,"Link from HBADTB to Sydney Data Centre"
qf,HIDDTB-SYDQCX,"Link from HIDDTB to Sydney Data Centre"
qf,HTIDTB-SYDQCX,"Link from HTIDTB to Sydney Data Centre"
qf,HVBDTB-SYDQCX,"Link from HVBDTB to Sydney Data Centre"
qf,ISADTB-SYDQCX,"Link from ISADTB to Sydney Data Centre"
qf,KGIDTB-SYDQCX,"Link from KGIDTB to Sydney Data Centre"
qf,KTADTB-SYDQCX,"Link from KTADTB to Sydney Data Centre"
qf,LEADTB-SYDQCX,"Link from LEADTB to Sydney Data Centre"
qf,LREDTB-SYDQCX,"Link from LREDTB to Sydney Data Centre"
qf,LSTDTB-SYDQCX,"Link from LSTDTB to Sydney Data Centre"
qf,MELADC-SYDQCX,"Link from MELADC to Sydney Data Centre"
qf,MELBOM-SYDQCX,"Link from MELBOM to Sydney Data Centre"
qf,MELCCC-SYDQCX,"Link from MELCCC to Sydney Data Centre"
qf,MELDAP-SYDQCX,"Link from MELDAP to Sydney Data Centre"
qf,MELECC-SYDQCX,"Link from MELECC to Sydney Data Centre"
qf,MELHQ2-SYDQCX,"Link from MELHQ2 to Sydney Data Centre"
qf,MELMCC-SYDQCX,"Link from MELMCC to Sydney Data Centre"
qf,MELRES-SYDQCX,"Link from MELRES to Sydney Data Centre"
qf,MELSIR-SYDQCX,"Link from MELSIR to Sydney Data Centre"
qf,MHUDTB-SYDQCX,"Link from MHUDTB to Sydney Data Centre"
qf,MKYDTB-SYDQCX,"Link from MKYDTB to Sydney Data Centre"
qf,MQLDTB-SYDQCX,"Link from MQLDTB to Sydney Data Centre"
qf,MRZDTB-SYDQCX,"Link from MRZDTB to Sydney Data Centre"
qf,NTLDTB-SYDQCX,"Link from NTLDTB to Sydney Data Centre"
qf,PBODTB-SYDQCX,"Link from PBODTB to Sydney Data Centre"
qf,PERHCH-SYDQCX,"Link from PERHCH to Sydney Data Centre"
qf,PERHQB-SYDQCX,"Link from PERHQB to Sydney Data Centre"
qf,PHEDTB-SYDQCX,"Link from PHEDTB to Sydney Data Centre"
qf,PLODTB-SYDQCX,"Link from PLODTB to Sydney Data Centre"
qf,PQQDTB-SYDQCX,"Link from PQQDTB to Sydney Data Centre"
qf,RMADTB-SYDQCX,"Link from RMADTB to Sydney Data Centre"
qf,ROKDTB-SYDQCX,"Link from ROKDTB to Sydney Data Centre"
qf,SYDAC1-SYDQCX,"Link from SYDAC1 to Sydney Data Centre"
qf,SYDAC2-SYDQCX,"Link from SYDAC2 to Sydney Data Centre"
qf,SYDARG-SYDQCX,"Link from SYDARG to Sydney Data Centre"
qf,SYDASC-SYDQCX,"Link from SYDASC to Sydney Data Centre"
qf,SYDCTR-SYDQCX,"Link from SYDCTR to Sydney Data Centre"
qf,SYDDT2-SYDQCX,"Link from SYDDT2 to Sydney Data Centre"
qf,SYDFT2-SYDQCX,"Link from SYDFT2 to Sydney Data Centre"
qf,SYDGKN-SYDQCX,"Link from SYDGKN to Sydney Data Centre"
qf,SYDHCH-SYDQCX,"Link from SYDHCH to Sydney Data Centre"
qf,SYDHDC-SYDQCX,"Link from SYDHDC to Sydney Data Centre"
qf,SYDQDS-SYDQCX,"Link from SYDQDS to Sydney Data Centre"
qf,SYDRAF-SYDQCX,"Link from SYDRAF to Sydney Data Centre"
qf,TMWDTB-SYDQCX,"Link from TMWDTB to Sydney Data Centre"
qf,TMWEAA-SYDQCX,"Link from TMWEAA to Sydney Data Centre"
qf,TSVDTB-SYDQCX,"Link from TSVDTB to Sydney Data Centre"
qf,WEIDTB-SYDQCX,"Link from WEIDTB to Sydney Data Centre"
qf,WGADTB-SYDQCX,"Link from WGADTB to Sydney Data Centre"
qf,ZNEDTB-SYDQCX,"Link from ZNEDTB to Sydney Data Centre"